,iid_pid,gender,condtn,samerace,race_o,field_cd,race,goal,date,go_out,career_c,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,imprelig,income,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,match
17,6787,1,2,0,2.0,8.0,4.0,1.0,5.0,3.0,7.0,18.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,7.0,1.0,43080.021994849325,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1
18,6786,1,2,1,4.0,8.0,4.0,1.0,5.0,3.0,7.0,-2.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,7.0,1.0,54172.15883409877,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
19,6785,1,2,1,4.0,8.0,4.0,1.0,5.0,3.0,7.0,21.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,7.0,1.0,48681.82938710135,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,0
20,6784,1,2,0,2.0,8.0,4.0,2.0,3.0,3.0,7.0,22.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,3.0,1.0,45109.93108437808,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
21,6783,1,2,0,2.0,8.0,4.0,2.0,3.0,3.0,7.0,44.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,3.0,1.0,36490.55435199684,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
22,6782,1,2,0,2.0,8.0,4.0,2.0,3.0,3.0,7.0,44.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,3.0,1.0,44827.01803369747,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
23,6781,1,2,0,2.0,8.0,4.0,2.0,3.0,3.0,7.0,45.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,3.0,1.0,44246.496812935715,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
24,6780,1,2,0,1.0,8.0,4.0,2.0,3.0,3.0,7.0,21.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,8.0,8.0,4.0,7.0,5.780825072462629,30.0,3.0,1.0,52234.54764778274,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
25,6779,1,2,0,2.0,8.0,4.0,2.0,3.0,3.0,7.0,1.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,3.0,1.0,44328.46064756361,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
26,6778,1,2,0,6.0,8.0,4.0,2.0,3.0,3.0,7.0,-7.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,3.0,1.0,44545.877841156216,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
27,6777,1,2,0,2.0,8.0,4.0,2.0,3.0,3.0,7.0,24.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,3.0,1.0,35030.422594758784,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
28,6776,1,2,1,4.0,8.0,4.0,2.0,3.0,3.0,7.0,-1.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,3.0,1.0,52151.31095186839,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
29,6775,1,2,1,4.0,8.0,4.0,2.0,3.0,3.0,7.0,17.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,3.0,1.0,52750.818772732506,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,0
30,6774,1,2,1,2.0,13.0,2.0,2.0,6.0,2.0,9.0,21.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,3.0,7.0,55083.15033627373,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
31,6773,1,2,1,2.0,13.0,2.0,2.0,6.0,2.0,9.0,46.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,3.0,7.0,59557.89598433512,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1
32,6772,1,2,1,2.0,13.0,2.0,2.0,6.0,2.0,9.0,53.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,3.0,7.0,58876.57278918266,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
33,6771,1,2,1,2.0,13.0,2.0,2.0,6.0,2.0,9.0,48.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,3.0,7.0,63421.60380808323,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
34,6770,1,2,0,1.0,13.0,2.0,2.0,6.0,2.0,9.0,-8.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,3.0,7.0,62275.60994842852,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
35,6769,1,2,1,2.0,13.0,2.0,2.0,6.0,2.0,9.0,-1.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,3.0,7.0,62994.42929729751,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
36,6768,1,2,0,6.0,13.0,2.0,2.0,6.0,2.0,9.0,33.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,3.0,7.0,63454.40735646117,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
37,6767,1,2,1,2.0,13.0,2.0,2.0,6.0,2.0,9.0,4.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,3.0,7.0,63233.533682798734,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1
38,6766,1,2,0,4.0,13.0,2.0,2.0,6.0,2.0,9.0,6.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,3.0,7.0,61990.51245411214,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
39,6765,1,2,0,4.0,13.0,2.0,2.0,6.0,2.0,9.0,1.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,3.0,7.0,63345.506134499105,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,0
40,6764,1,2,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,46.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,8.0,9.0,9.0,4.0,9.0,1.4640751344422045,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
41,6763,1,2,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,12.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
42,6762,1,2,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,35.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
43,6761,1,2,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,78.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1
44,6760,1,2,0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1
45,6759,1,2,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,-12.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
46,6758,1,2,1,6.0,1.0,6.0,1.0,3.0,1.0,1.0,44.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,7.0,4.0,3.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
47,6757,1,2,0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,24.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,8.0,8.0,9.0,9.0,10.0,10.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
48,6756,1,2,0,4.0,1.0,6.0,1.0,3.0,1.0,1.0,31.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,8.0,5.0,7.0,6.0,8.0,2.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
49,6755,1,2,0,4.0,1.0,6.0,1.0,3.0,1.0,1.0,17.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,5.0,6.0,9.0,8.0,8.0,5.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,0
50,6754,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,9.0,3.0,10.0,9.0,10.0,6.00632640880322,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1
51,6753,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,7.0,48.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,8.0,2.0,4.0,5.0,10.0,2.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,0
52,6752,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,7.0,41.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,6.0,9.0,10.0,9.0,9.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1
53,6751,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,7.0,0.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1
54,6750,1,2,0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,73.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,9.0,9.0,10.0,10.0,9.0,6.698688348175549,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1
55,6749,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,7.0,16.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,7.0,6.0,6.0,5.0,7.0,7.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,0
56,6748,1,2,0,6.0,1.0,2.0,1.0,2.0,1.0,7.0,41.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,5.0,5.0,5.0,8.0,5.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,0
57,6747,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,7.0,69.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,8.0,6.0,8.0,7.0,9.0,5.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,0
58,6746,1,2,0,4.0,1.0,2.0,1.0,2.0,1.0,7.0,3.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,9.0,8.0,9.0,9.0,5.0,2.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1
59,6745,1,2,0,4.0,1.0,2.0,1.0,2.0,1.0,7.0,-42.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,6.0,8.0,8.0,9.0,9.0,4.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,0
60,6744,1,2,0,2.0,13.0,4.0,1.0,7.0,2.0,7.0,49.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,7.0,7.0,9.0,3.0,9.0,0.0,26.0,1.0,1.0,44263.235481303585,7.0,5.0,6.0,8.0,3.0,2.0,6.0,2.0,5.0,6.0,3.0,4.0,8.0,4.0,9.0,2.0,4.0,3.0,15.0,30.0,25.0,20.0,0.0,10.0,0
61,6743,1,2,0,2.0,13.0,4.0,1.0,7.0,2.0,7.0,35.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,6.0,3.0,4.0,2.0,9.0,4.0,26.0,1.0,1.0,41568.90865314383,7.0,5.0,6.0,8.0,3.0,2.0,6.0,2.0,5.0,6.0,3.0,4.0,8.0,4.0,9.0,2.0,4.0,3.0,15.0,30.0,25.0,20.0,0.0,10.0,0
62,6742,1,2,0,2.0,13.0,4.0,1.0,7.0,2.0,7.0,34.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,8.0,8.0,10.0,7.0,10.0,7.0,26.0,1.0,1.0,48248.67111066762,7.0,5.0,6.0,8.0,3.0,2.0,6.0,2.0,5.0,6.0,3.0,4.0,8.0,4.0,9.0,2.0,4.0,3.0,15.0,30.0,25.0,20.0,0.0,10.0,0
