,iid_pid,iid,id,partner,pid,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,imprelig,income,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,gender,idg,condtn,match,samerace,race_o,field_cd,race,from,zipcode,goal,date,go_out,career_c
10,6794.0,452.0,13.0,10.0,439.0,43.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,4.0,10.0,10.0,7.0,10.0,3.313751601942203,29.0,7.0,1.0,53682.60849565245,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,2.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
11,6793.0,452.0,13.0,9.0,438.0,3.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,7.0,1.0,55079.99999999999,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,2.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
12,6792.0,452.0,13.0,8.0,437.0,47.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,7.0,1.0,55079.99999999999,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,2.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
13,6791.0,452.0,13.0,7.0,436.0,-4.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,7.0,1.0,55079.99999999999,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,2.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
14,6790.0,452.0,13.0,6.0,435.0,12.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,7.0,1.0,55079.99999999999,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,1.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
15,6789.0,452.0,13.0,5.0,434.0,-1.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,7.0,1.0,55080.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,2.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
16,6788.0,452.0,13.0,4.0,433.0,19.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,7.0,1.0,55079.99999999999,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,0,6.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
17,6787.0,452.0,13.0,3.0,432.0,18.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,7.0,1.0,55080.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,1,0,2.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
18,6786.0,452.0,13.0,2.0,431.0,-2.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,7.0,1.0,55080.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,1,4.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
19,6785.0,452.0,13.0,1.0,430.0,21.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,7.0,1.0,55079.99999999999,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0,1,23,2,0,1,4.0,8.0,4.0,Singapore,"10,027",1.0,5.0,3.0,7.0
20,6784.0,451.0,12.0,10.0,439.0,22.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,3.0,1.0,55080.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,2.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
21,6783.0,451.0,12.0,9.0,438.0,44.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,3.0,1.0,55080.00000000001,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,2.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
22,6782.0,451.0,12.0,8.0,437.0,44.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,3.0,1.0,55079.99999999999,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,2.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
23,6781.0,451.0,12.0,7.0,436.0,45.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,3.0,1.0,55080.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,2.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
24,6780.0,451.0,12.0,6.0,435.0,21.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,8.0,8.0,4.0,7.0,5.082238409325056,30.0,3.0,1.0,55080.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,1.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
25,6779.0,451.0,12.0,5.0,434.0,1.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,3.0,1.0,55080.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,2.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
26,6778.0,451.0,12.0,4.0,433.0,-7.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,3.0,1.0,55080.00000000001,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,6.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
27,6777.0,451.0,12.0,3.0,432.0,24.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,3.0,1.0,55079.99999999999,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,0,2.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
28,6776.0,451.0,12.0,2.0,431.0,-1.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,3.0,1.0,55079.99999999999,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,1,4.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
29,6775.0,451.0,12.0,1.0,430.0,17.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,3.0,1.0,55080.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0,1,22,2,0,1,4.0,8.0,4.0,"Asia, Singapore","650,206",2.0,3.0,3.0,7.0
30,6774.0,450.0,11.0,10.0,439.0,21.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,3.0,7.0,53686.08514736142,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,1,2.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
31,6773.0,450.0,11.0,9.0,438.0,46.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,3.0,7.0,53668.210474059335,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,1,1,2.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
32,6772.0,450.0,11.0,8.0,437.0,53.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,3.0,7.0,53678.18558534021,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,1,2.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
33,6771.0,450.0,11.0,7.0,436.0,48.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,3.0,7.0,52280.00000000001,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,1,2.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
34,6770.0,450.0,11.0,6.0,435.0,-8.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,3.0,7.0,53646.59967935705,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,0,1.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
35,6769.0,450.0,11.0,5.0,434.0,-1.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,3.0,7.0,52280.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,1,2.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
36,6768.0,450.0,11.0,4.0,433.0,33.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,3.0,7.0,52280.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,0,6.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
37,6767.0,450.0,11.0,3.0,432.0,4.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,3.0,7.0,52280.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,1,1,2.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
38,6766.0,450.0,11.0,2.0,431.0,6.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,3.0,7.0,53668.55269383169,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,0,4.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
39,6765.0,450.0,11.0,1.0,430.0,1.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,3.0,7.0,52280.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0,1,21,2,0,0,4.0,13.0,2.0,Singapore,Missing value,2.0,6.0,2.0,9.0
40,6764.0,449.0,10.0,10.0,439.0,46.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,8.0,9.0,9.0,4.0,9.0,2.4945487707289122,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,2.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
41,6763.0,449.0,10.0,9.0,438.0,12.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,2.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
42,6762.0,449.0,10.0,8.0,437.0,35.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,2.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
43,6761.0,449.0,10.0,7.0,436.0,78.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,1,0,2.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
44,6760.0,449.0,10.0,6.0,435.0,1.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,1,0,1.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
45,6759.0,449.0,10.0,5.0,434.0,-12.0,27.0,30.0,15.0,15.0,30.0,0.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,2.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
46,6758.0,449.0,10.0,4.0,433.0,44.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,7.0,4.0,3.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,1,6.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
47,6757.0,449.0,10.0,3.0,432.0,24.0,28.0,15.0,30.0,30.0,10.0,10.0,5.0,8.0,8.0,9.0,9.0,10.0,10.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,2.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
48,6756.0,449.0,10.0,2.0,431.0,31.0,27.0,15.0,15.0,25.0,15.0,15.0,15.0,8.0,5.0,7.0,6.0,8.0,2.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,4.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
49,6755.0,449.0,10.0,1.0,430.0,17.0,22.0,10.0,25.0,15.0,20.0,15.0,15.0,5.0,6.0,9.0,8.0,8.0,5.0,23.0,7.0,1.0,52280.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0,1,20,2,0,0,4.0,1.0,6.0,New York,"11,552",1.0,3.0,1.0,1.0
50,6754.0,448.0,9.0,10.0,439.0,5.0,29.0,20.0,10.0,50.0,5.0,10.0,5.0,9.0,3.0,10.0,9.0,10.0,5.645043435575656,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1,18,2,1,1,2.0,1.0,2.0,New York City,"10,021",1.0,2.0,1.0,7.0
51,6753.0,448.0,9.0,9.0,438.0,48.0,23.0,14.0,15.0,16.0,17.0,18.0,20.0,8.0,2.0,4.0,5.0,10.0,2.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1,18,2,0,1,2.0,1.0,2.0,New York City,"10,021",1.0,2.0,1.0,7.0
52,6752.0,448.0,9.0,8.0,437.0,41.0,23.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,6.0,9.0,10.0,9.0,9.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1,18,2,1,1,2.0,1.0,2.0,New York City,"10,021",1.0,2.0,1.0,7.0
53,6751.0,448.0,9.0,7.0,436.0,0.0,23.0,28.0,8.0,17.0,22.0,17.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1,18,2,1,1,2.0,1.0,2.0,New York City,"10,021",1.0,2.0,1.0,7.0
54,6750.0,448.0,9.0,6.0,435.0,73.0,22.0,25.0,5.0,20.0,25.0,15.0,10.0,9.0,9.0,10.0,10.0,9.0,3.4914805834143325,22.0,1.0,1.0,55080.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0,1,18,2,1,0,1.0,1.0,2.0,New York City,"10,021",1.0,2.0,1.0,7.0
