,iid_pid,gender,condtn,samerace,race_o,field_cd,race,goal,date,go_out,career_c,int_corr,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,imprelig,income,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
33,6838,0,2,0,4,8.0,3,2,7,2,2.0,-14.0,23.0,25.0,15.0,20.0,20.0,10.0,10.0,6.0,7.0,10.0,7.0,6.0,6.0,26.0,3.0,3.0,52409.90618295895,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
34,6839,0,2,0,4,8.0,3,2,7,2,2.0,-7.0,24.0,20.0,16.0,16.0,17.0,16.0,15.0,8.0,8.0,8.0,8.0,8.0,5.0,26.0,3.0,3.0,84805.60291325033,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
35,6840,0,2,0,4,8.0,3,2,7,2,2.0,-18.0,23.0,15.0,25.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,6.0,6.0,5.0,26.0,3.0,3.0,46274.68976034438,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
36,6841,0,2,0,2,8.0,3,2,7,2,2.0,66.0,24.0,20.0,20.0,20.0,20.0,10.0,10.0,8.092401931451038,8.375552002455052,8.828634478959332,7.789869241934719,7.828634478959331,7.283150071004014,26.0,3.0,3.0,29047.368265454006,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
37,6842,0,2,0,2,8.0,3,2,7,2,2.0,-4.0,30.0,35.0,10.0,20.0,25.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,8.0,26.0,3.0,3.0,56758.27658358642,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
38,6843,0,2,0,2,8.0,3,2,7,2,2.0,15.0,30.0,25.0,20.0,20.0,20.0,0.0,15.0,6.0,6.0,6.0,6.0,3.0,2.0,26.0,3.0,3.0,37648.05698234129,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
39,6844,0,2,0,2,8.0,3,2,7,2,2.0,7.0,30.0,40.0,10.0,20.0,10.0,0.0,20.0,7.0,7.0,8.0,6.0,5.0,4.0,26.0,3.0,3.0,36340.482653096,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
40,6845,0,2,0,2,8.0,3,2,7,2,2.0,7.0,28.0,20.0,20.0,20.0,20.0,0.0,20.0,4.0,8.0,9.0,9.0,8.0,7.0,26.0,3.0,3.0,44458.93722615057,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
41,6846,0,2,0,2,8.0,3,2,7,2,2.0,43.0,30.0,30.0,3.0,30.0,30.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,26.0,3.0,3.0,62536.52541398629,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
42,6847,0,2,0,1,8.0,3,2,7,2,2.0,33.0,27.0,40.0,20.0,20.0,20.0,0.0,0.0,10.0,9.0,9.0,7.0,7.0,8.0,26.0,3.0,3.0,44247.81093331742,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
43,6848,0,2,0,2,8.0,3,2,7,2,2.0,63.0,25.0,70.0,0.0,15.0,15.0,0.0,0.0,9.0,9.0,9.0,9.0,7.63992531145473,7.0,26.0,3.0,3.0,58181.649452611404,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,5.0,25.0,25.0,25.0,12.0,3.0,10.0
44,6849,0,2,1,4,5.0,4,2,7,3,7.0,26.0,25.0,15.0,30.0,20.0,20.0,10.0,5.0,5.0,10.0,10.0,8.0,10.0,5.0,23.0,2.0,2.0,56752.013221141206,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
45,6850,0,2,1,4,5.0,4,2,7,3,7.0,-45.0,26.0,25.0,20.0,20.0,20.0,5.0,10.0,7.0,6.0,7.0,6.0,5.0,8.0,23.0,2.0,2.0,48106.670963574616,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
46,6851,0,2,0,2,5.0,4,2,7,3,7.0,6.0,26.0,25.0,25.0,25.0,13.0,12.0,0.0,6.0,8.0,8.0,5.0,8.938166876088726,5.0,23.0,2.0,2.0,46411.818277265724,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
47,6852,0,2,0,6,5.0,4,2,7,3,7.0,28.0,24.0,30.0,30.0,30.0,5.0,2.0,3.0,8.0,9.0,8.0,8.0,9.0,7.0,23.0,2.0,2.0,45921.40093489378,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
48,6853,0,2,0,2,5.0,4,2,7,3,7.0,24.0,23.0,23.0,14.0,19.0,16.0,10.0,18.0,7.0,7.0,8.0,7.0,6.0,6.0,23.0,2.0,2.0,53417.63675207432,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
49,6854,0,2,0,2,5.0,4,2,7,3,7.0,52.0,29.0,30.0,20.0,20.0,20.0,10.0,0.0,9.0,7.0,8.0,4.0,8.0,3.0,23.0,2.0,2.0,69551.06888607303,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
50,6855,0,2,1,4,5.0,4,2,7,3,7.0,36.0,22.0,20.0,5.0,25.0,25.0,5.0,20.0,5.0,7.0,8.0,4.0,6.0,6.0,23.0,2.0,2.0,40477.08387022747,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
51,6856,0,2,0,2,5.0,4,2,7,3,7.0,2.0,32.0,50.0,0.0,10.0,30.0,0.0,10.0,5.0,7.0,7.0,5.0,6.0,3.0,23.0,2.0,2.0,48735.33868111651,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
52,6857,0,2,0,2,5.0,4,2,7,3,7.0,2.0,22.0,30.0,10.0,20.0,15.0,15.0,10.0,4.0,8.0,10.0,4.0,10.0,3.0,23.0,2.0,2.0,38193.523027401156,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
53,6858,0,2,0,2,5.0,4,2,7,3,7.0,52.0,24.0,20.0,15.0,20.0,20.0,15.0,10.0,7.0,8.0,7.0,7.0,5.0,3.0,23.0,2.0,2.0,75893.39101203173,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
54,6859,0,2,1,4,5.0,4,2,7,3,7.0,-5.0,23.0,40.0,30.0,0.0,20.0,0.0,10.0,5.0,7.0,10.0,5.0,10.0,5.0,23.0,2.0,2.0,64979.158228588654,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
55,6860,0,2,1,4,5.0,4,2,7,3,7.0,-3.0,23.0,25.0,15.0,20.0,20.0,10.0,10.0,4.0,5.0,8.0,6.0,7.0,9.0,23.0,2.0,2.0,60866.05045442968,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
56,6861,0,2,1,4,5.0,4,2,7,3,7.0,-33.0,24.0,20.0,16.0,16.0,17.0,16.0,15.0,6.0,8.0,8.0,6.0,8.0,3.0,23.0,2.0,2.0,57752.27037377471,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
57,6862,0,2,1,4,5.0,4,2,7,3,7.0,-12.0,23.0,15.0,25.0,20.0,10.0,10.0,20.0,8.0,8.0,5.0,7.0,6.0,5.0,23.0,2.0,2.0,56531.1527462062,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
58,6863,0,2,0,2,5.0,4,2,7,3,7.0,16.0,24.0,20.0,20.0,20.0,20.0,10.0,10.0,6.045426632901811,8.264954117064457,7.953137765601218,6.642757015634951,7.90914673419638,5.355807382868077,23.0,2.0,2.0,63096.18915746312,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
59,6864,0,2,0,2,5.0,4,2,7,3,7.0,-5.0,30.0,35.0,10.0,20.0,25.0,5.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,23.0,2.0,2.0,64814.158157884776,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
60,6865,0,2,0,2,5.0,4,2,7,3,7.0,37.0,30.0,25.0,20.0,20.0,20.0,0.0,15.0,4.0,7.0,6.0,4.0,2.0,1.0,23.0,2.0,2.0,46623.17405844266,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
61,6866,0,2,0,2,5.0,4,2,7,3,7.0,-2.0,30.0,40.0,10.0,20.0,10.0,0.0,20.0,9.0,9.0,9.0,5.0,8.0,5.0,23.0,2.0,2.0,46950.63122344282,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
62,6867,0,2,0,2,5.0,4,2,7,3,7.0,17.0,28.0,20.0,20.0,20.0,20.0,0.0,20.0,6.0,8.0,6.0,5.0,8.0,5.0,23.0,2.0,2.0,62752.16135666551,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
63,6868,0,2,0,2,5.0,4,2,7,3,7.0,48.0,30.0,30.0,3.0,30.0,30.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,23.0,2.0,2.0,60622.262083449474,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
64,6869,0,2,0,1,5.0,4,2,7,3,7.0,37.0,27.0,40.0,20.0,20.0,20.0,0.0,0.0,5.0,8.0,9.0,6.0,8.0,7.0,23.0,2.0,2.0,34108.07280721599,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
65,6870,0,2,0,2,5.0,4,2,7,3,7.0,83.0,25.0,70.0,0.0,15.0,15.0,0.0,0.0,7.0,5.0,5.0,4.0,5.0,1.0,23.0,2.0,2.0,61747.77231697254,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0
