iid_pid,race,date,career_c,age_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,imprace,clubbing,concerts,music,match
6726,3.0,4.0,7.0,27.0,7.0,9.0,9.0,8.0,6.0,2.0,28.0,2.0,6.0,5.0,8.0,0
6725,3.0,4.0,7.0,22.0,5.0,9.0,9.0,6.0,8.0,4.0,28.0,2.0,6.0,5.0,8.0,0
6724,2.0,5.0,9.0,29.0,7.0,7.0,7.0,6.0,7.0,6.440639835923275,30.0,1.0,9.0,8.0,9.0,1
6723,2.0,5.0,9.0,23.0,7.0,7.0,10.0,9.0,10.0,8.0,30.0,1.0,9.0,8.0,9.0,0
6722,2.0,5.0,9.0,23.0,7.0,7.0,8.0,9.0,9.0,8.0,30.0,1.0,9.0,8.0,9.0,0
6721,2.0,5.0,9.0,23.0,8.0,10.0,9.0,9.0,8.0,7.0,30.0,1.0,9.0,8.0,9.0,0
6720,2.0,5.0,9.0,22.0,4.0,5.0,8.0,7.0,7.0,7.000000000000001,30.0,1.0,9.0,8.0,9.0,0
6719,2.0,5.0,9.0,27.0,7.0,9.0,7.0,7.0,7.0,7.0,30.0,1.0,9.0,8.0,9.0,0
6718,2.0,5.0,9.0,30.0,7.0,7.0,7.0,6.0,5.0,3.0,30.0,1.0,9.0,8.0,9.0,0
6717,2.0,5.0,9.0,28.0,8.0,7.0,8.0,7.0,9.0,10.0,30.0,1.0,9.0,8.0,9.0,1
6716,2.0,5.0,9.0,27.0,5.0,3.0,4.0,3.0,6.0,1.0,30.0,1.0,9.0,8.0,9.0,0
6715,2.0,5.0,9.0,22.0,5.0,8.0,8.0,6.0,7.0,2.0,30.0,1.0,9.0,8.0,9.0,0
6714,2.0,4.0,7.0,29.0,8.0,7.0,8.0,8.0,9.0,3.0,26.0,5.0,5.0,3.0,5.0,0
6713,2.0,4.0,7.0,23.0,8.0,2.0,6.0,4.0,10.0,2.0,26.0,5.0,5.0,3.0,5.0,0
6712,2.0,4.0,7.0,23.0,8.0,6.0,9.0,8.0,9.0,7.0,26.0,5.0,5.0,3.0,5.0,0
6711,2.0,4.0,7.0,23.0,10.0,9.0,9.0,10.0,10.0,9.0,26.0,5.0,5.0,3.0,5.0,0
6710,2.0,4.0,7.0,22.0,8.0,9.0,8.0,8.0,8.0,6.0,26.0,5.0,5.0,3.0,5.0,0
6709,2.0,4.0,7.0,27.0,9.0,8.0,7.0,7.0,7.0,7.0,26.0,5.0,5.0,3.0,5.0,0
6708,2.0,4.0,7.0,30.0,8.0,6.0,6.0,5.0,5.0,3.0,26.0,5.0,5.0,3.0,5.0,0
6707,2.0,4.0,7.0,28.0,10.0,10.0,10.0,10.0,10.0,9.0,26.0,5.0,5.0,3.0,5.0,0
6706,2.0,4.0,7.0,27.0,8.0,7.0,8.0,8.0,7.0,4.0,26.0,5.0,5.0,3.0,5.0,0
6705,2.0,4.0,7.0,22.0,7.0,6.0,8.0,7.0,8.0,2.0,26.0,5.0,5.0,3.0,5.0,0
6704,3.0,6.0,9.0,29.0,6.0,7.0,9.0,6.3438828535514125,7.0,6.069407218386759,27.0,1.0,7.0,8.0,8.0,0
6703,3.0,6.0,9.0,23.0,4.0,4.0,6.0,5.0,10.0,4.0,27.0,1.0,7.0,8.0,8.0,0
6702,3.0,6.0,9.0,23.0,7.0,8.0,10.0,8.0,10.0,7.0,27.0,1.0,7.0,8.0,8.0,0
6701,3.0,6.0,9.0,23.0,7.0,10.0,9.0,9.0,9.0,7.0,27.0,1.0,7.0,8.0,8.0,0
6700,3.0,6.0,9.0,22.0,7.0,9.0,9.0,8.0,9.0,7.645650266269683,27.0,1.0,7.0,8.0,8.0,0
6699,3.0,6.0,9.0,27.0,6.0,7.0,8.0,9.0,7.0,8.0,27.0,1.0,7.0,8.0,8.0,0
6698,3.0,6.0,9.0,30.0,7.0,6.0,6.0,6.0,4.0,4.0,27.0,1.0,7.0,8.0,8.0,0
6697,3.0,6.0,9.0,28.0,8.0,10.0,9.0,9.0,10.0,9.0,27.0,1.0,7.0,8.0,8.0,0
6696,3.0,6.0,9.0,27.0,6.0,9.0,9.0,8.0,8.0,5.0,27.0,1.0,7.0,8.0,8.0,0
6695,3.0,6.0,9.0,22.0,5.0,8.0,8.0,7.0,8.0,2.0,27.0,1.0,7.0,8.0,8.0,0
6694,2.0,6.0,1.0,29.0,3.0,9.0,9.0,3.0,9.0,0.0,25.0,1.0,8.0,3.0,5.0,0
6693,2.0,6.0,1.0,23.0,4.0,3.0,6.0,2.0,2.0,2.0,25.0,1.0,8.0,3.0,5.0,0
6692,2.0,6.0,1.0,23.0,7.0,9.0,10.0,7.0,10.0,7.0,25.0,1.0,8.0,3.0,5.0,1
6691,2.0,6.0,1.0,23.0,7.0,10.0,8.0,10.0,8.0,7.0,25.0,1.0,8.0,3.0,5.0,0
6690,2.0,6.0,1.0,22.0,6.0,10.0,8.0,5.0,9.0,7.0,25.0,1.0,8.0,3.0,5.0,0
6689,2.0,6.0,1.0,27.0,7.0,6.0,7.0,5.0,8.0,5.0,25.0,1.0,8.0,3.0,5.0,0
6688,2.0,6.0,1.0,30.0,7.0,7.0,7.0,5.0,6.0,5.0,25.0,1.0,8.0,3.0,5.0,1
6687,2.0,6.0,1.0,28.0,7.0,10.0,10.0,10.0,10.0,9.0,25.0,1.0,8.0,3.0,5.0,1
6686,2.0,6.0,1.0,27.0,8.0,8.0,8.0,8.0,7.0,2.0,25.0,1.0,8.0,3.0,5.0,1
6685,2.0,6.0,1.0,22.0,5.0,7.0,8.0,6.0,8.0,1.0,25.0,1.0,8.0,3.0,5.0,0
6684,2.0,7.0,1.0,29.0,6.0,6.0,7.0,8.0,9.0,6.643779874208748,24.0,4.0,9.0,10.0,10.0,0
6683,2.0,7.0,1.0,23.0,5.0,4.0,5.0,6.0,6.0,6.0,24.0,4.0,9.0,10.0,10.0,0
6682,2.0,7.0,1.0,23.0,7.0,7.0,9.0,8.0,9.0,8.0,24.0,4.0,9.0,10.0,10.0,1
6681,2.0,7.0,1.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,24.0,4.0,9.0,10.0,10.0,0
6680,2.0,7.0,1.0,22.0,8.0,10.0,7.0,10.0,9.0,10.0,24.0,4.0,9.0,10.0,10.0,1
6679,2.0,7.0,1.0,27.0,7.0,6.0,6.0,6.0,5.0,6.0,24.0,4.0,9.0,10.0,10.0,0
6678,2.0,7.0,1.0,30.0,6.0,4.0,4.0,5.0,3.0,7.0,24.0,4.0,9.0,10.0,10.0,0
6677,2.0,7.0,1.0,28.0,4.0,6.0,9.0,6.0,9.0,7.0,24.0,4.0,9.0,10.0,10.0,0
6676,2.0,7.0,1.0,27.0,8.0,8.0,8.0,7.0,7.0,2.0,24.0,4.0,9.0,10.0,10.0,0
6675,2.0,7.0,1.0,22.0,5.0,9.0,9.0,8.0,7.0,3.0,24.0,4.0,9.0,10.0,10.0,0
6674,2.0,7.0,1.0,29.0,8.0,9.0,9.0,6.0,9.0,6.343724139373222,21.0,8.0,1.0,8.0,10.0,0
6673,2.0,7.0,1.0,23.0,6.0,4.0,8.0,8.0,4.0,5.0,21.0,8.0,1.0,8.0,10.0,0
6672,2.0,7.0,1.0,23.0,10.0,9.0,10.0,10.0,10.0,9.0,21.0,8.0,1.0,8.0,10.0,0
6671,2.0,7.0,1.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,8.0,1.0,8.0,10.0,0
6670,2.0,7.0,1.0,22.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,8.0,1.0,8.0,10.0,0
6669,2.0,7.0,1.0,27.0,8.0,6.0,6.0,8.0,7.0,7.0,21.0,8.0,1.0,8.0,10.0,0
6668,2.0,7.0,1.0,30.0,8.0,7.0,7.0,5.0,5.0,7.0,21.0,8.0,1.0,8.0,10.0,0
6667,2.0,7.0,1.0,28.0,9.0,10.0,10.0,8.0,10.0,8.0,21.0,8.0,1.0,8.0,10.0,0
6666,2.0,7.0,1.0,27.0,7.0,8.0,9.0,7.0,9.0,3.0,21.0,8.0,1.0,8.0,10.0,0
6665,2.0,7.0,1.0,22.0,8.0,7.0,9.0,9.0,8.0,5.0,21.0,8.0,1.0,8.0,10.0,0
6664,2.0,3.0,2.0,27.0,5.0,5.0,5.0,4.0,5.0,4.0,29.0,1.0,7.0,9.0,9.0,0
6663,2.0,3.0,2.0,29.0,8.0,7.0,7.0,6.0,6.0,6.0,29.0,1.0,7.0,9.0,9.0,0
6662,2.0,3.0,2.0,30.0,6.0,5.0,5.0,6.0,5.0,3.0,29.0,1.0,7.0,9.0,9.0,0
6661,2.0,3.0,2.0,25.0,8.0,7.0,7.0,7.0,5.0,5.0,29.0,1.0,7.0,9.0,9.0,0
6660,2.0,3.0,2.0,23.0,7.0,9.0,7.0,7.0,5.0,6.0,29.0,1.0,7.0,9.0,9.0,0
6659,2.0,3.0,2.0,22.0,8.0,7.0,7.0,8.0,6.0,7.0,29.0,1.0,7.0,9.0,9.0,1
6658,2.0,3.0,2.0,26.0,4.0,5.0,6.0,5.0,5.0,4.0,29.0,1.0,7.0,9.0,9.0,0
6657,2.0,3.0,2.0,28.0,9.0,8.0,8.0,6.0,5.0,5.0,29.0,1.0,7.0,9.0,9.0,1
6656,2.0,3.0,2.0,30.0,9.0,5.0,6.0,7.0,7.0,4.0,29.0,1.0,7.0,9.0,9.0,1
6655,2.0,3.0,2.0,26.0,6.0,6.0,7.0,9.0,7.0,4.0,29.0,1.0,7.0,9.0,9.0,0
6654,2.0,3.0,2.0,27.0,8.0,6.0,8.0,3.0,3.0,2.0,29.0,1.0,7.0,9.0,9.0,0
6653,2.0,3.0,2.0,25.0,9.0,1.0,7.0,5.0,4.0,3.0,29.0,1.0,7.0,9.0,9.0,0
6652,2.0,3.0,2.0,24.0,9.0,7.0,9.0,6.0,7.0,5.0,29.0,1.0,7.0,9.0,9.0,0
6651,2.0,3.0,2.0,21.0,8.0,5.0,8.0,5.0,7.0,5.0,29.0,1.0,7.0,9.0,9.0,0
6650,2.0,4.0,11.0,27.0,6.0,5.0,6.0,4.0,5.0,4.0,23.0,1.0,7.0,10.0,9.0,0
6649,2.0,4.0,11.0,29.0,6.0,6.0,5.0,6.0,5.0,5.0,23.0,1.0,7.0,10.0,9.0,0
6648,2.0,4.0,11.0,30.0,6.0,6.0,5.0,6.0,5.0,4.0,23.0,1.0,7.0,10.0,9.0,0
6647,2.0,4.0,11.0,25.0,6.0,7.0,7.0,7.0,7.0,7.0,23.0,1.0,7.0,10.0,9.0,1
6646,2.0,4.0,11.0,23.0,7.0,9.0,8.0,8.0,7.0,6.0,23.0,1.0,7.0,10.0,9.0,0
6645,2.0,4.0,11.0,22.0,6.0,5.0,6.721172141118098,6.0,6.318026731734144,5.791170690939572,23.0,1.0,7.0,10.0,9.0,0
6644,2.0,4.0,11.0,26.0,5.0,6.0,6.0,5.0,4.0,5.0,23.0,1.0,7.0,10.0,9.0,0
6643,2.0,4.0,11.0,28.0,8.0,7.0,7.0,8.0,4.0,7.0,23.0,1.0,7.0,10.0,9.0,1
6642,2.0,4.0,11.0,30.0,5.0,8.0,9.0,6.0,8.0,4.0,23.0,1.0,7.0,10.0,9.0,0
6641,2.0,4.0,11.0,26.0,7.0,9.0,7.0,8.0,7.0,8.468709788617485,23.0,1.0,7.0,10.0,9.0,0
6640,2.0,4.0,11.0,27.0,7.0,9.0,7.0,8.0,5.0,5.0,23.0,1.0,7.0,10.0,9.0,0
6639,2.0,4.0,11.0,25.0,7.0,4.0,5.0,4.0,4.0,0.0,23.0,1.0,7.0,10.0,9.0,0
6638,2.0,4.0,11.0,24.0,9.0,9.0,10.0,9.0,9.0,9.0,23.0,1.0,7.0,10.0,9.0,0
6637,2.0,4.0,11.0,21.0,6.0,8.0,8.0,8.0,8.0,7.0,23.0,1.0,7.0,10.0,9.0,0
6636,2.0,4.0,11.0,27.0,5.0,4.0,6.0,6.0,5.0,5.0,23.0,2.0,6.0,10.0,10.0,0
6635,2.0,4.0,11.0,29.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,2.0,6.0,10.0,10.0,0
6634,2.0,4.0,11.0,30.0,5.0,5.0,4.0,3.0,4.0,3.0,23.0,2.0,6.0,10.0,10.0,0
6633,2.0,4.0,11.0,25.0,6.0,9.0,7.0,5.0,3.0,3.0,23.0,2.0,6.0,10.0,10.0,0
6632,2.0,4.0,11.0,23.0,5.0,10.0,9.0,9.0,5.0,6.0,23.0,2.0,6.0,10.0,10.0,0
6631,2.0,4.0,11.0,22.0,5.0,7.0,5.0,6.0,3.0,7.0,23.0,2.0,6.0,10.0,10.0,1
6630,2.0,4.0,11.0,26.0,6.0,5.0,6.0,6.0,4.0,4.0,23.0,2.0,6.0,10.0,10.0,0
6629,2.0,4.0,11.0,28.0,5.0,10.0,8.0,8.0,7.0,6.0,23.0,2.0,6.0,10.0,10.0,0
6628,2.0,4.0,11.0,30.0,7.0,9.0,7.0,6.0,5.0,6.0,23.0,2.0,6.0,10.0,10.0,0
6627,2.0,4.0,11.0,26.0,5.0,6.0,5.0,4.0,6.0,6.3940144695267485,23.0,2.0,6.0,10.0,10.0,0
6626,2.0,4.0,11.0,27.0,9.0,6.0,6.0,6.0,6.0,6.0,23.0,2.0,6.0,10.0,10.0,0
6625,2.0,4.0,11.0,25.0,7.0,5.0,5.0,4.0,2.0,0.0,23.0,2.0,6.0,10.0,10.0,1
6624,2.0,4.0,11.0,24.0,8.0,8.0,8.0,8.0,7.0,8.0,23.0,2.0,6.0,10.0,10.0,1
6623,2.0,4.0,11.0,21.0,5.0,8.0,8.0,8.0,9.0,7.0,23.0,2.0,6.0,10.0,10.0,0
6622,2.0,6.0,1.0,27.0,5.0,4.0,6.0,4.0,6.0,6.0,23.0,9.0,1.0,6.0,10.0,0
6621,2.0,6.0,1.0,29.0,7.0,7.0,8.0,8.0,6.0,6.0,23.0,9.0,1.0,6.0,10.0,0
6620,2.0,6.0,1.0,30.0,5.0,4.0,5.0,3.0,4.0,2.0,23.0,9.0,1.0,6.0,10.0,0
6619,2.0,6.0,1.0,25.0,6.0,7.0,9.0,7.0,9.0,6.796098083981257,23.0,9.0,1.0,6.0,10.0,0
6618,2.0,6.0,1.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,9.0,1.0,6.0,10.0,1
6617,2.0,6.0,1.0,22.0,8.0,6.0,7.0,8.0,8.0,7.0,23.0,9.0,1.0,6.0,10.0,1
6616,2.0,6.0,1.0,26.0,7.0,6.0,6.0,5.0,6.0,6.0,23.0,9.0,1.0,6.0,10.0,0
6615,2.0,6.0,1.0,28.0,7.0,7.0,7.0,9.0,8.0,3.0,23.0,9.0,1.0,6.0,10.0,0
6614,2.0,6.0,1.0,30.0,7.0,6.0,4.0,8.0,8.0,4.0,23.0,9.0,1.0,6.0,10.0,0
6613,2.0,6.0,1.0,26.0,6.0,5.0,5.0,9.0,7.0,6.0,23.0,9.0,1.0,6.0,10.0,0
6612,2.0,6.0,1.0,27.0,7.0,6.0,7.0,8.0,8.0,5.0,23.0,9.0,1.0,6.0,10.0,0
6611,2.0,6.0,1.0,25.0,8.0,1.0,5.0,5.0,5.0,0.0,23.0,9.0,1.0,6.0,10.0,0
6610,2.0,6.0,1.0,24.0,9.0,9.0,9.0,10.0,8.0,5.0,23.0,9.0,1.0,6.0,10.0,0
6609,2.0,6.0,1.0,21.0,10.0,10.0,10.0,11.0,10.0,10.0,23.0,9.0,1.0,6.0,10.0,0
6608,1.0,7.0,1.0,27.0,4.0,4.0,4.0,4.0,4.0,4.0,22.0,1.0,9.0,9.0,9.0,0
6607,1.0,7.0,1.0,29.0,3.0,6.0,6.0,5.0,6.0,5.0,22.0,1.0,9.0,9.0,9.0,0
6606,1.0,7.0,1.0,30.0,5.0,4.0,3.0,3.0,3.0,2.0,22.0,1.0,9.0,9.0,9.0,0
6605,1.0,7.0,1.0,25.0,6.0,8.0,8.0,3.0,7.0,1.0,22.0,1.0,9.0,9.0,9.0,0
6604,1.0,7.0,1.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,1.0,9.0,9.0,9.0,1
6603,1.0,7.0,1.0,22.0,5.0,7.0,8.0,6.0,6.0,7.0,22.0,1.0,9.0,9.0,9.0,1
6602,1.0,7.0,1.0,26.0,6.0,6.0,8.0,6.0,7.0,6.0,22.0,1.0,9.0,9.0,9.0,0
6601,1.0,7.0,1.0,28.0,5.0,5.0,8.0,6.0,9.0,3.0,22.0,1.0,9.0,9.0,9.0,0
6600,1.0,7.0,1.0,30.0,5.0,7.0,7.0,8.0,7.0,4.0,22.0,1.0,9.0,9.0,9.0,0
6599,1.0,7.0,1.0,26.0,3.0,3.0,5.0,9.0,6.0,4.054041766911025,22.0,1.0,9.0,9.0,9.0,0
6598,1.0,7.0,1.0,27.0,4.0,5.0,5.0,7.0,7.0,4.0,22.0,1.0,9.0,9.0,9.0,0
6597,1.0,7.0,1.0,25.0,6.0,0.0,5.0,5.0,5.0,0.0,22.0,1.0,9.0,9.0,9.0,0
6596,1.0,7.0,1.0,24.0,7.0,10.0,7.0,10.0,6.0,8.0,22.0,1.0,9.0,9.0,9.0,1
6595,1.0,7.0,1.0,21.0,10.0,8.0,3.0,10.0,10.0,5.0,22.0,1.0,9.0,9.0,9.0,0
6594,2.0,4.0,15.0,27.0,6.0,5.0,5.0,5.0,5.0,6.0,27.0,2.0,7.0,4.0,7.0,0
